OrderID,PartType,OperationSequence,Quantity,M1_Ruest,M1_Proc,M2_Ruest,M2_Proc,M3_Ruest,M3_Proc,Deadline_days
1,E,M3,37,0,0,0,0,21,111,2
2,B,M1->M3,50,25,600,0,0,13,100,12
3,A,M1->M2->M3,12,15,144,25,180,29,36,7
4,B,M1->M3,27,19,216,0,0,21,189,10
5,B,M1->M3,23,27,115,0,0,8,69,11
6,A,M1->M2->M3,10,42,120,40,70,11,80,12
7,B,M1->M3,21,21,210,0,0,19,126,8
8,D,M1->M2,35,24,140,30,350,0,0,3
9,E,M3,12,0,0,0,0,6,48,11
10,D,M1->M2,35,29,420,38,490,0,0,8
11,E,M3,11,0,0,0,0,8,88,10
12,B,M1->M3,48,34,336,0,0,5,96,11
13,C,M2->M3,23,0,0,14,115,17,161,10
14,C,M2->M3,44,0,0,23,528,11,264,3
15,C,M2->M3,42,0,0,28,252,10,126,2
16,A,M1->M2->M3,6,49,60,10,60,12,48,14
17,A,M1->M2->M3,13,46,91,10,91,11,65,6
18,C,M2->M3,8,0,0,37,104,20,24,7
19,A,M1->M2->M3,31,22,155,22,279,23,93,14
20,B,M1->M3,19,52,95,0,0,18,38,7
21,A,M1->M2->M3,20,52,60,36,280,20,140,14
22,C,M2->M3,12,0,0,18,120,6,96,6
23,E,M3,18,0,0,0,0,15,126,10
24,A,M1->M2->M3,6,39,48,22,60,20,42,3
25,A,M1->M2->M3,33,42,297,44,330,16,165,7
26,A,M1->M2->M3,35,15,210,27,245,18,140,8
27,D,M1->M2,10,46,120,20,100,0,0,2
28,D,M1->M2,17,25,102,12,102,0,0,10
29,B,M1->M3,15,22,120,0,0,15,120,10
30,B,M1->M3,17,55,153,0,0,10,51,2
31,E,M3,22,0,0,0,0,30,132,8
32,D,M1->M2,6,25,30,11,60,0,0,3
33,C,M2->M3,12,0,0,13,84,15,84,2
34,A,M1->M2->M3,17,50,68,19,187,12,136,14
35,D,M1->M2,8,50,88,27,80,0,0,3
36,A,M1->M2->M3,8,15,40,42,104,6,48,10
37,A,M1->M2->M3,15,46,120,40,210,11,105,5
38,E,M3,5,0,0,0,0,7,15,2
39,A,M1->M2->M3,29,38,87,28,145,20,174,4
40,A,M1->M2->M3,31,30,310,13,217,9,217,13
41,E,M3,30,0,0,0,0,14,210,3
42,E,M3,32,0,0,0,0,19,256,5
43,D,M1->M2,15,35,45,22,180,0,0,7
44,E,M3,8,0,0,0,0,21,48,13
45,C,M2->M3,49,0,0,34,294,13,245,11
46,B,M1->M3,48,43,384,0,0,21,96,2
47,A,M1->M2->M3,31,23,93,12,248,17,248,4
48,E,M3,45,0,0,0,0,5,90,14
49,A,M1->M2->M3,29,49,203,44,261,12,174,12
50,C,M2->M3,43,0,0,45,430,13,172,10
