OrderID,PartType,OperationSequence,Quantity,M1_Ruest,M1_Proc,M2_Ruest,M2_Proc,M3_Ruest,M3_Proc,Deadline_days
1,C,M2->M3,28,0,0,27,168,14,84,5
2,B,M1->M3,12,57,108,0,0,23,36,11
3,A,M1->M2->M3,30,50,210,12,420,8,60,7
4,E,M3,7,0,0,0,0,18,42,10
5,B,M1->M3,12,20,84,0,0,11,36,12
6,A,M1->M2->M3,11,16,33,24,132,23,33,12
7,D,M1->M2,37,39,111,19,333,0,0,10
8,A,M1->M2->M3,27,50,135,18,135,8,108,4
9,C,M2->M3,12,0,0,16,120,8,72,13
10,E,M3,38,0,0,0,0,6,114,13
11,B,M1->M3,18,51,126,0,0,6,54,10
12,E,M3,37,0,0,0,0,7,111,7
13,D,M1->M2,39,54,390,45,507,0,0,11
14,D,M1->M2,31,18,93,23,155,0,0,4
15,E,M3,36,0,0,0,0,12,72,8
16,A,M1->M2->M3,49,59,539,17,343,5,392,10
17,B,M1->M3,10,25,110,0,0,18,80,14
18,B,M1->M3,11,55,55,0,0,21,33,11
19,A,M1->M2->M3,46,25,184,27,322,15,276,14
20,B,M1->M3,25,37,200,0,0,20,150,6
21,C,M2->M3,28,0,0,22,252,27,112,4
22,D,M1->M2,20,37,200,24,200,0,0,12
23,C,M2->M3,22,0,0,31,242,30,44,10
24,B,M1->M3,48,23,384,0,0,17,384,9
25,E,M3,21,0,0,0,0,27,168,2
26,D,M1->M2,49,35,441,42,490,0,0,8
27,C,M2->M3,10,0,0,36,90,24,80,9
28,C,M2->M3,9,0,0,30,108,20,18,8
29,B,M1->M3,9,24,72,0,0,21,27,10
30,E,M3,42,0,0,0,0,12,252,2
31,D,M1->M2,14,40,98,21,84,0,0,7
32,A,M1->M2->M3,41,55,451,33,369,5,205,9
33,B,M1->M3,46,45,322,0,0,5,92,8
34,D,M1->M2,31,22,341,26,217,0,0,3
35,E,M3,28,0,0,0,0,19,168,6
36,E,M3,40,0,0,0,0,25,120,9
37,A,M1->M2->M3,42,18,168,32,210,30,252,8
38,A,M1->M2->M3,28,22,84,12,168,18,140,10
39,C,M2->M3,37,0,0,15,444,22,111,10
40,B,M1->M3,8,26,48,0,0,9,40,5
41,D,M1->M2,15,35,75,32,105,0,0,6
42,B,M1->M3,47,32,470,0,0,26,329,14
43,E,M3,33,0,0,0,0,27,132,8
44,C,M2->M3,44,0,0,16,264,9,308,7
45,A,M1->M2->M3,30,47,330,11,330,19,90,4
46,E,M3,36,0,0,0,0,5,180,9
47,E,M3,9,0,0,0,0,11,63,3
48,B,M1->M3,25,32,200,0,0,21,75,7
49,C,M2->M3,34,0,0,16,442,25,238,12
50,B,M1->M3,23,43,230,0,0,29,69,5
