OrderID,PartType,OperationSequence,Quantity,M1_Ruest,M1_Proc,M2_Ruest,M2_Proc,M3_Ruest,M3_Proc,Deadline_days
1,A,M1->M2->M3,44,53,220,36,396,11,132,6
2,E,M3,35,0,0,0,0,12,175,11
3,E,M3,7,0,0,0,0,19,42,4
4,C,M2->M3,10,0,0,29,130,27,80,12
5,B,M1->M3,34,50,102,0,0,11,136,7
6,B,M1->M3,40,48,280,0,0,28,240,6
7,C,M2->M3,28,0,0,30,252,26,224,11
8,B,M1->M3,38,50,190,0,0,20,190,13
9,C,M2->M3,24,0,0,44,312,30,96,8
10,A,M1->M2->M3,41,57,451,32,574,24,164,11
11,A,M1->M2->M3,28,58,280,42,224,23,224,2
12,B,M1->M3,11,15,44,0,0,28,77,8
13,A,M1->M2->M3,47,38,423,34,517,27,282,6
14,B,M1->M3,41,38,492,0,0,29,287,8
15,E,M3,8,0,0,0,0,14,64,4
16,C,M2->M3,44,0,0,17,484,23,176,4
17,E,M3,27,0,0,0,0,8,54,9
18,A,M1->M2->M3,46,33,276,30,644,15,322,8
19,C,M2->M3,7,0,0,17,98,28,56,4
20,A,M1->M2->M3,10,38,110,15,50,17,60,12
21,C,M2->M3,34,0,0,18,476,12,68,7
22,D,M1->M2,30,42,120,35,360,0,0,12
23,B,M1->M3,27,44,108,0,0,27,162,8
24,B,M1->M3,14,15,140,0,0,21,28,2
25,A,M1->M2->M3,41,20,451,38,533,12,123,5
26,E,M3,31,0,0,0,0,10,155,12
27,D,M1->M2,22,46,88,23,110,0,0,13
28,B,M1->M3,31,50,310,0,0,26,124,11
29,C,M2->M3,11,0,0,44,121,20,77,7
30,D,M1->M2,26,28,208,22,156,0,0,10
31,D,M1->M2,28,42,308,23,392,0,0,3
32,C,M2->M3,45,0,0,42,270,5,180,5
33,D,M1->M2,50,44,150,32,750,0,0,5
34,A,M1->M2->M3,21,53,105,35,189,25,42,9
35,D,M1->M2,42,17,168,19,546,0,0,5
36,B,M1->M3,29,34,87,0,0,14,203,3
37,C,M2->M3,24,0,0,17,264,6,72,5
38,C,M2->M3,44,0,0,24,308,21,88,6
39,E,M3,47,0,0,0,0,7,376,4
40,C,M2->M3,23,0,0,43,138,21,46,2
41,C,M2->M3,14,0,0,25,168,13,112,11
42,A,M1->M2->M3,48,22,432,12,624,24,240,4
43,C,M2->M3,46,0,0,18,414,15,184,12
44,E,M3,40,0,0,0,0,27,320,10
45,A,M1->M2->M3,8,21,80,25,56,25,48,6
46,B,M1->M3,9,29,63,0,0,10,63,9
47,C,M2->M3,18,0,0,18,144,13,54,11
48,C,M2->M3,18,0,0,43,198,29,144,3
49,E,M3,43,0,0,0,0,16,129,11
50,E,M3,48,0,0,0,0,24,96,12
