OrderID,PartType,OperationSequence,Quantity,M1_Ruest,M1_Proc,M2_Ruest,M2_Proc,M3_Ruest,M3_Proc,Deadline_days
1,B,M1->M3,12,34,96,0,0,18,72,3
2,B,M1->M3,34,51,306,0,0,14,238,7
3,B,M1->M3,12,57,60,0,0,25,24,3
4,C,M2->M3,19,0,0,19,133,28,95,7
5,D,M1->M2,26,29,260,43,182,0,0,12
6,D,M1->M2,28,60,196,38,364,0,0,10
7,B,M1->M3,17,21,68,0,0,15,34,3
8,C,M2->M3,32,0,0,12,384,27,160,11
9,C,M2->M3,35,0,0,21,350,20,280,6
10,C,M2->M3,33,0,0,15,330,30,165,8
11,A,M1->M2->M3,38,47,380,33,342,25,190,12
12,E,M3,30,0,0,0,0,29,210,10
13,B,M1->M3,26,44,286,0,0,30,182,7
14,D,M1->M2,26,39,312,45,234,0,0,4
15,D,M1->M2,13,38,143,18,91,0,0,12
16,B,M1->M3,29,35,203,0,0,21,174,4
17,A,M1->M2->M3,12,38,48,12,72,14,48,10
18,E,M3,25,0,0,0,0,12,125,7
19,D,M1->M2,38,39,304,30,342,0,0,12
20,E,M3,41,0,0,0,0,25,164,14
21,A,M1->M2->M3,21,27,210,35,210,23,63,12
22,C,M2->M3,14,0,0,15,182,7,84,4
23,B,M1->M3,10,41,60,0,0,27,50,8
24,D,M1->M2,5,22,25,38,55,0,0,11
25,E,M3,19,0,0,0,0,17,76,6
26,E,M3,35,0,0,0,0,9,105,3
27,C,M2->M3,38,0,0,25,418,20,114,10
28,C,M2->M3,25,0,0,18,375,28,150,9
29,D,M1->M2,23,39,161,21,115,0,0,13
30,E,M3,25,0,0,0,0,6,50,13
31,E,M3,45,0,0,0,0,12,225,11
32,A,M1->M2->M3,23,59,161,36,161,15,161,7
33,A,M1->M2->M3,39,40,390,34,312,21,195,11
34,D,M1->M2,18,23,90,41,90,0,0,6
35,B,M1->M3,14,32,84,0,0,16,98,9
36,E,M3,50,0,0,0,0,9,200,11
37,C,M2->M3,16,0,0,16,96,6,96,3
38,C,M2->M3,17,0,0,13,153,16,136,5
39,E,M3,44,0,0,0,0,28,308,5
40,D,M1->M2,39,31,156,42,312,0,0,3
41,B,M1->M3,29,18,203,0,0,8,116,5
42,C,M2->M3,16,0,0,37,96,8,128,2
43,A,M1->M2->M3,13,60,52,19,143,30,39,2
44,D,M1->M2,40,47,400,16,560,0,0,14
45,D,M1->M2,30,53,240,34,240,0,0,11
46,A,M1->M2->M3,30,34,300,22,270,27,240,10
47,E,M3,29,0,0,0,0,24,116,12
48,B,M1->M3,10,54,40,0,0,24,70,3
49,D,M1->M2,22,21,66,13,110,0,0,10
50,A,M1->M2->M3,12,26,132,37,72,13,84,13
