OrderID,PartType,OperationSequence,Quantity,M1_Ruest,M1_Proc,M2_Ruest,M2_Proc,M3_Ruest,M3_Proc,Deadline_days
1,E,M3,9,0,0,0,0,15,45,2
2,D,M1->M2,17,27,119,41,255,0,0,14
3,E,M3,19,0,0,0,0,10,38,6
4,E,M3,27,0,0,0,0,6,189,9
5,D,M1->M2,11,25,77,43,121,0,0,6
6,E,M3,44,0,0,0,0,6,264,13
7,A,M1->M2->M3,32,34,128,31,256,20,160,7
8,A,M1->M2->M3,14,53,84,10,84,15,98,2
9,E,M3,5,0,0,0,0,27,25,5
10,C,M2->M3,48,0,0,10,384,30,384,4
11,A,M1->M2->M3,29,32,319,11,435,5,174,6
12,A,M1->M2->M3,49,42,392,26,245,19,294,8
13,A,M1->M2->M3,29,17,290,17,348,7,58,12
14,B,M1->M3,16,16,128,0,0,27,96,7
15,D,M1->M2,12,41,108,24,180,0,0,11
16,B,M1->M3,12,57,48,0,0,11,60,7
17,D,M1->M2,39,43,117,29,546,0,0,4
18,E,M3,26,0,0,0,0,29,130,4
19,E,M3,46,0,0,0,0,9,92,2
20,A,M1->M2->M3,44,20,440,28,220,17,88,9
21,B,M1->M3,23,21,184,0,0,20,138,11
22,E,M3,32,0,0,0,0,23,224,3
23,E,M3,30,0,0,0,0,20,150,13
24,A,M1->M2->M3,14,56,168,39,126,6,56,10
25,A,M1->M2->M3,35,37,105,31,350,17,140,9
26,A,M1->M2->M3,38,34,266,41,494,17,76,4
27,D,M1->M2,47,30,470,11,705,0,0,7
28,D,M1->M2,42,22,126,10,588,0,0,11
29,D,M1->M2,14,15,98,15,112,0,0,2
30,D,M1->M2,26,15,260,19,390,0,0,14
31,E,M3,34,0,0,0,0,19,170,9
32,C,M2->M3,20,0,0,15,220,26,60,7
33,D,M1->M2,13,49,104,27,78,0,0,12
34,A,M1->M2->M3,16,31,48,37,224,14,80,2
35,D,M1->M2,18,30,90,37,270,0,0,13
36,B,M1->M3,31,22,248,0,0,15,248,7
37,C,M2->M3,44,0,0,37,396,5,220,9
38,D,M1->M2,12,20,96,24,180,0,0,4
39,E,M3,19,0,0,0,0,18,57,13
40,B,M1->M3,8,29,24,0,0,19,32,8
41,D,M1->M2,32,47,256,11,288,0,0,11
42,D,M1->M2,37,54,259,26,185,0,0,6
43,A,M1->M2->M3,5,35,60,17,70,24,15,7
44,D,M1->M2,22,21,242,16,132,0,0,3
45,D,M1->M2,39,28,468,30,234,0,0,4
46,E,M3,20,0,0,0,0,15,100,13
47,C,M2->M3,28,0,0,24,224,20,56,10
48,E,M3,23,0,0,0,0,14,184,10
49,E,M3,48,0,0,0,0,19,288,5
50,D,M1->M2,18,56,72,25,252,0,0,12
