OrderID,PartType,OperationSequence,Quantity,M1_Ruest,M1_Proc,M2_Ruest,M2_Proc,M3_Ruest,M3_Proc,Deadline_days
1,A,M1->M2->M3,42,53,168,42,630,9,168,10
2,E,M3,43,0,0,0,0,26,129,4
3,E,M3,20,0,0,0,0,29,160,12
4,C,M2->M3,27,0,0,14,297,25,216,13
5,D,M1->M2,35,31,105,45,420,0,0,14
6,A,M1->M2->M3,6,48,66,20,78,26,18,10
7,C,M2->M3,21,0,0,31,252,24,84,5
8,C,M2->M3,39,0,0,14,312,26,312,10
9,E,M3,47,0,0,0,0,24,188,8
10,A,M1->M2->M3,45,44,315,30,405,23,180,6
11,B,M1->M3,35,45,175,0,0,22,105,8
12,C,M2->M3,39,0,0,37,195,17,312,9
13,D,M1->M2,13,52,65,10,195,0,0,14
14,A,M1->M2->M3,30,29,360,12,150,11,90,12
15,A,M1->M2->M3,14,41,140,18,126,23,112,9
16,C,M2->M3,41,0,0,34,451,8,164,13
17,E,M3,36,0,0,0,0,25,252,5
18,D,M1->M2,5,37,20,11,50,0,0,13
19,B,M1->M3,38,31,380,0,0,11,266,9
20,A,M1->M2->M3,25,23,300,11,250,13,75,2
21,E,M3,40,0,0,0,0,23,80,11
22,C,M2->M3,34,0,0,11,204,9,136,9
23,D,M1->M2,35,17,210,23,315,0,0,7
24,B,M1->M3,16,38,64,0,0,23,80,11
25,B,M1->M3,41,40,328,0,0,10,123,3
26,D,M1->M2,10,45,80,10,140,0,0,9
27,D,M1->M2,49,34,245,28,294,0,0,14
28,B,M1->M3,17,17,153,0,0,18,68,5
29,A,M1->M2->M3,19,58,133,45,133,7,114,7
30,A,M1->M2->M3,20,56,140,10,200,19,120,4
31,E,M3,50,0,0,0,0,30,200,9
32,D,M1->M2,28,41,224,42,252,0,0,5
33,A,M1->M2->M3,34,56,340,44,170,27,68,5
34,D,M1->M2,48,19,336,44,336,0,0,10
35,D,M1->M2,9,19,63,18,81,0,0,11
36,C,M2->M3,11,0,0,30,99,15,33,11
37,C,M2->M3,8,0,0,20,80,15,24,3
38,E,M3,17,0,0,0,0,13,136,3
39,B,M1->M3,35,36,175,0,0,9,140,11
40,C,M2->M3,39,0,0,16,312,7,195,6
41,B,M1->M3,8,46,80,0,0,21,48,3
42,D,M1->M2,21,23,63,42,126,0,0,8
43,B,M1->M3,5,54,55,0,0,21,25,12
44,A,M1->M2->M3,13,48,143,34,130,21,39,10
45,B,M1->M3,15,44,150,0,0,11,30,10
46,D,M1->M2,13,52,104,20,156,0,0,9
47,A,M1->M2->M3,12,16,84,18,120,20,60,10
48,E,M3,45,0,0,0,0,24,135,12
49,D,M1->M2,22,25,110,30,264,0,0,2
50,C,M2->M3,8,0,0,22,64,9,56,10
