OrderID,PartType,OperationSequence,Quantity,M1_Ruest,M1_Proc,M2_Ruest,M2_Proc,M3_Ruest,M3_Proc,Deadline_days
1,A,M1->M2->M3,20,56,240,40,160,27,80,2
2,D,M1->M2,12,42,96,42,156,0,0,7
3,A,M1->M2->M3,12,17,48,32,144,16,24,13
4,E,M3,26,0,0,0,0,18,208,7
5,C,M2->M3,13,0,0,36,104,18,26,7
6,E,M3,46,0,0,0,0,18,276,5
7,B,M1->M3,31,47,217,0,0,23,62,10
8,D,M1->M2,44,54,132,31,396,0,0,12
9,E,M3,18,0,0,0,0,28,126,3
10,D,M1->M2,26,51,182,36,260,0,0,3
11,C,M2->M3,8,0,0,42,112,8,48,8
12,B,M1->M3,37,42,333,0,0,13,222,12
13,B,M1->M3,27,28,216,0,0,16,81,13
14,D,M1->M2,45,16,180,14,630,0,0,13
15,B,M1->M3,47,54,376,0,0,29,141,3
16,D,M1->M2,41,55,328,25,328,0,0,4
17,B,M1->M3,35,52,245,0,0,13,210,7
18,E,M3,43,0,0,0,0,22,344,9
19,E,M3,23,0,0,0,0,7,69,13
20,B,M1->M3,15,50,75,0,0,23,30,4
21,B,M1->M3,23,17,161,0,0,22,92,4
22,C,M2->M3,46,0,0,43,276,24,276,5
23,E,M3,8,0,0,0,0,15,24,5
24,D,M1->M2,32,31,256,38,448,0,0,6
25,D,M1->M2,22,29,220,12,330,0,0,3
26,E,M3,12,0,0,0,0,8,36,6
27,A,M1->M2->M3,11,17,88,25,99,30,44,10
28,E,M3,9,0,0,0,0,18,45,5
29,C,M2->M3,22,0,0,19,198,7,110,5
30,B,M1->M3,27,56,162,0,0,5,216,6
31,D,M1->M2,48,16,240,13,384,0,0,14
32,B,M1->M3,46,39,138,0,0,19,230,6
33,D,M1->M2,30,22,330,16,180,0,0,4
34,C,M2->M3,23,0,0,15,345,27,69,12
35,A,M1->M2->M3,37,39,222,24,185,10,259,10
36,A,M1->M2->M3,21,19,189,22,168,9,63,3
37,E,M3,7,0,0,0,0,11,21,6
38,C,M2->M3,48,0,0,15,480,26,192,11
39,B,M1->M3,42,49,420,0,0,7,336,8
40,A,M1->M2->M3,32,55,128,33,320,10,64,2
41,B,M1->M3,41,54,328,0,0,7,82,8
42,A,M1->M2->M3,24,51,264,37,192,22,72,13
43,B,M1->M3,26,34,156,0,0,11,130,12
44,E,M3,12,0,0,0,0,12,84,11
45,E,M3,20,0,0,0,0,9,80,8
46,D,M1->M2,50,51,150,35,500,0,0,8
47,D,M1->M2,23,22,253,32,322,0,0,3
48,E,M3,37,0,0,0,0,27,259,11
49,A,M1->M2->M3,41,19,287,35,615,10,287,14
50,A,M1->M2->M3,43,25,473,45,516,19,258,13
