OrderID,PartType,OperationSequence,Quantity,M1_Ruest,M1_Proc,M2_Ruest,M2_Proc,M3_Ruest,M3_Proc,Deadline_days
1,C,M2->M3,47,0,0,27,282,9,235,5
2,D,M1->M2,39,51,156,17,429,0,0,10
3,D,M1->M2,10,60,30,20,140,0,0,3
4,E,M3,17,0,0,0,0,22,68,13
5,E,M3,49,0,0,0,0,21,147,14
6,D,M1->M2,19,21,76,41,209,0,0,14
7,D,M1->M2,50,21,300,40,650,0,0,4
8,C,M2->M3,47,0,0,44,282,9,376,10
9,E,M3,32,0,0,0,0,9,128,7
10,E,M3,34,0,0,0,0,9,238,7
11,A,M1->M2->M3,13,25,65,23,65,5,104,11
12,C,M2->M3,14,0,0,36,84,27,56,3
13,E,M3,33,0,0,0,0,16,165,4
14,C,M2->M3,39,0,0,34,390,10,156,12
15,C,M2->M3,44,0,0,43,308,23,220,14
16,C,M2->M3,6,0,0,10,60,17,12,2
17,D,M1->M2,17,15,102,40,136,0,0,6
18,B,M1->M3,16,46,64,0,0,19,96,2
19,D,M1->M2,27,45,135,10,216,0,0,7
20,D,M1->M2,30,22,360,16,450,0,0,12
21,B,M1->M3,18,24,216,0,0,20,36,12
22,B,M1->M3,18,42,180,0,0,24,126,2
23,B,M1->M3,46,60,368,0,0,18,276,5
24,C,M2->M3,45,0,0,37,540,14,90,10
25,C,M2->M3,35,0,0,37,175,5,70,9
26,D,M1->M2,26,54,260,35,130,0,0,13
27,A,M1->M2->M3,8,50,40,43,88,17,56,5
28,B,M1->M3,39,33,351,0,0,15,312,5
29,E,M3,24,0,0,0,0,30,192,7
30,B,M1->M3,30,21,210,0,0,11,120,12
31,D,M1->M2,13,17,65,10,195,0,0,14
32,C,M2->M3,42,0,0,23,630,17,294,3
33,D,M1->M2,42,44,126,42,210,0,0,2
34,B,M1->M3,5,43,60,0,0,13,35,10
35,E,M3,8,0,0,0,0,24,32,12
36,D,M1->M2,17,21,85,11,204,0,0,4
37,D,M1->M2,19,38,152,36,133,0,0,7
38,D,M1->M2,39,57,429,34,351,0,0,13
39,B,M1->M3,38,57,380,0,0,19,228,8
40,E,M3,30,0,0,0,0,22,240,7
41,A,M1->M2->M3,46,36,552,22,276,9,184,4
42,E,M3,43,0,0,0,0,17,215,14
43,B,M1->M3,38,27,380,0,0,25,190,7
44,D,M1->M2,28,50,168,17,364,0,0,2
45,B,M1->M3,49,60,539,0,0,20,294,10
46,A,M1->M2->M3,29,39,290,19,348,30,203,5
47,B,M1->M3,29,20,232,0,0,8,116,12
48,E,M3,34,0,0,0,0,21,272,7
49,D,M1->M2,19,18,190,25,228,0,0,5
50,B,M1->M3,9,22,90,0,0,22,27,9
