OrderID,PartType,OperationSequence,Quantity,M1_Ruest,M1_Proc,M2_Ruest,M2_Proc,M3_Ruest,M3_Proc,Deadline_days
1,E,M3,6,0,0,0,0,28,18,12
2,D,M1->M2,26,23,234,41,130,0,0,10
3,D,M1->M2,17,20,102,12,204,0,0,13
4,B,M1->M3,15,56,105,0,0,13,105,10
5,D,M1->M2,28,44,168,16,168,0,0,10
6,D,M1->M2,49,47,294,11,294,0,0,11
7,B,M1->M3,6,57,36,0,0,9,42,2
8,A,M1->M2->M3,38,28,266,27,228,5,190,4
9,C,M2->M3,35,0,0,17,245,13,245,4
10,D,M1->M2,11,56,121,41,66,0,0,4
11,B,M1->M3,17,45,153,0,0,17,102,4
12,E,M3,41,0,0,0,0,25,287,14
13,B,M1->M3,21,31,210,0,0,20,84,11
14,D,M1->M2,41,28,410,37,369,0,0,8
15,A,M1->M2->M3,22,49,110,30,132,19,176,13
16,E,M3,14,0,0,0,0,13,56,6
17,E,M3,22,0,0,0,0,23,66,14
18,D,M1->M2,6,58,72,43,72,0,0,2
19,C,M2->M3,45,0,0,31,585,30,135,14
20,D,M1->M2,39,23,390,17,429,0,0,6
21,B,M1->M3,41,44,123,0,0,10,246,10
22,C,M2->M3,37,0,0,43,296,6,259,14
23,E,M3,9,0,0,0,0,11,27,4
24,A,M1->M2->M3,50,19,400,40,650,14,150,14
25,E,M3,28,0,0,0,0,17,224,6
26,B,M1->M3,20,27,140,0,0,5,80,14
27,C,M2->M3,48,0,0,14,432,28,192,6
28,D,M1->M2,36,59,396,43,540,0,0,6
29,A,M1->M2->M3,37,58,148,22,407,23,111,11
30,A,M1->M2->M3,5,44,30,38,75,23,20,11
31,C,M2->M3,25,0,0,37,150,15,175,2
32,C,M2->M3,34,0,0,33,340,28,68,5
33,A,M1->M2->M3,23,30,92,37,345,14,69,9
34,E,M3,13,0,0,0,0,20,104,11
35,A,M1->M2->M3,30,42,180,20,300,27,120,10
36,E,M3,12,0,0,0,0,9,24,13
37,B,M1->M3,23,16,276,0,0,25,184,6
38,C,M2->M3,33,0,0,37,495,9,231,8
39,D,M1->M2,20,32,140,18,100,0,0,13
40,A,M1->M2->M3,30,38,120,35,420,10,90,9
41,E,M3,20,0,0,0,0,20,160,6
42,D,M1->M2,28,16,140,34,224,0,0,3
43,A,M1->M2->M3,46,19,506,31,368,22,276,2
44,D,M1->M2,19,42,152,43,247,0,0,5
45,B,M1->M3,26,59,182,0,0,11,208,5
46,E,M3,44,0,0,0,0,7,176,2
47,B,M1->M3,9,19,45,0,0,29,36,5
48,C,M2->M3,37,0,0,44,407,12,296,4
49,B,M1->M3,26,16,286,0,0,24,182,11
50,E,M3,14,0,0,0,0,28,28,11
