OrderID,PartType,OperationSequence,Quantity,M1_Ruest,M1_Proc,M2_Ruest,M2_Proc,M3_Ruest,M3_Proc,Deadline_days
1,C,M2->M3,17,0,0,33,85,13,51,3
2,A,M1->M2->M3,10,27,80,16,120,28,60,5
3,E,M3,41,0,0,0,0,9,205,7
4,D,M1->M2,11,53,132,25,88,0,0,11
5,B,M1->M3,48,30,576,0,0,12,96,8
6,D,M1->M2,25,16,200,41,275,0,0,6
7,D,M1->M2,47,54,470,39,564,0,0,11
8,B,M1->M3,9,58,36,0,0,8,63,12
9,D,M1->M2,23,32,161,19,345,0,0,12
10,A,M1->M2->M3,48,27,384,11,384,28,336,9
11,E,M3,34,0,0,0,0,15,102,3
12,E,M3,31,0,0,0,0,5,62,3
13,D,M1->M2,25,57,75,43,150,0,0,7
14,E,M3,24,0,0,0,0,27,96,3
15,D,M1->M2,21,57,126,19,273,0,0,3
16,C,M2->M3,45,0,0,40,585,19,90,13
17,A,M1->M2->M3,13,25,156,14,117,7,52,4
18,E,M3,45,0,0,0,0,10,270,2
19,C,M2->M3,11,0,0,34,143,27,22,2
20,A,M1->M2->M3,43,49,258,32,645,18,215,13
21,A,M1->M2->M3,22,37,176,38,132,13,176,11
22,B,M1->M3,33,48,297,0,0,23,132,12
23,A,M1->M2->M3,7,32,35,29,70,12,42,5
24,D,M1->M2,33,48,396,20,198,0,0,6
25,C,M2->M3,25,0,0,43,350,12,200,6
26,B,M1->M3,16,22,96,0,0,5,64,4
27,E,M3,38,0,0,0,0,23,114,8
28,D,M1->M2,11,42,33,36,165,0,0,12
29,E,M3,42,0,0,0,0,10,168,4
30,A,M1->M2->M3,30,26,300,40,450,22,90,3
31,B,M1->M3,32,41,128,0,0,18,160,6
32,B,M1->M3,9,53,27,0,0,29,18,14
33,A,M1->M2->M3,18,42,216,12,162,17,144,10
34,D,M1->M2,7,16,35,14,63,0,0,9
35,D,M1->M2,18,41,216,42,144,0,0,11
36,E,M3,34,0,0,0,0,18,238,4
37,C,M2->M3,33,0,0,41,330,7,198,10
38,D,M1->M2,31,53,341,11,403,0,0,2
39,B,M1->M3,46,60,414,0,0,10,138,13
40,B,M1->M3,23,55,92,0,0,14,138,4
41,E,M3,24,0,0,0,0,22,96,3
42,C,M2->M3,40,0,0,26,520,22,320,5
43,C,M2->M3,37,0,0,12,444,21,296,4
44,D,M1->M2,41,27,451,29,574,0,0,11
45,C,M2->M3,17,0,0,42,85,19,85,4
46,C,M2->M3,14,0,0,21,154,22,56,7
47,A,M1->M2->M3,36,23,324,40,468,6,216,3
48,B,M1->M3,30,26,210,0,0,7,120,12
49,E,M3,14,0,0,0,0,11,56,2
50,B,M1->M3,5,30,20,0,0,17,35,2
