OrderID,PartType,OperationSequence,Quantity,M1_Ruest,M1_Proc,M2_Ruest,M2_Proc,M3_Ruest,M3_Proc,Deadline_days
1,E,M3,5,0,0,0,0,30,10,8
2,D,M1->M2,37,43,370,30,555,0,0,10
3,A,M1->M2->M3,42,57,210,13,294,22,210,10
4,B,M1->M3,22,17,132,0,0,6,154,11
5,C,M2->M3,22,0,0,31,176,17,132,8
6,D,M1->M2,15,50,105,22,90,0,0,10
7,E,M3,27,0,0,0,0,19,162,3
8,B,M1->M3,30,19,210,0,0,11,210,7
9,C,M2->M3,5,0,0,42,70,11,10,5
10,A,M1->M2->M3,10,32,110,17,70,30,50,9
11,B,M1->M3,29,27,319,0,0,13,145,11
12,A,M1->M2->M3,45,18,540,39,630,17,225,11
13,C,M2->M3,50,0,0,20,400,22,250,10
14,E,M3,38,0,0,0,0,12,76,3
15,A,M1->M2->M3,24,38,264,31,216,6,168,12
16,D,M1->M2,47,55,564,41,611,0,0,9
17,D,M1->M2,29,59,116,18,406,0,0,11
18,D,M1->M2,18,29,108,43,270,0,0,7
19,D,M1->M2,18,24,180,25,270,0,0,4
20,A,M1->M2->M3,31,48,279,22,434,7,62,5
21,C,M2->M3,11,0,0,26,110,9,22,5
22,E,M3,45,0,0,0,0,12,315,14
23,E,M3,45,0,0,0,0,25,180,13
24,B,M1->M3,38,48,304,0,0,28,114,9
25,A,M1->M2->M3,43,43,344,28,516,25,172,13
26,D,M1->M2,8,34,48,44,104,0,0,6
27,E,M3,13,0,0,0,0,21,91,12
28,C,M2->M3,22,0,0,25,330,9,176,13
29,A,M1->M2->M3,15,15,105,26,165,9,75,4
30,C,M2->M3,20,0,0,14,200,16,100,4
31,C,M2->M3,48,0,0,44,336,29,384,13
32,D,M1->M2,50,17,350,35,500,0,0,14
33,C,M2->M3,10,0,0,34,70,18,80,13
34,A,M1->M2->M3,44,20,264,31,572,13,264,7
35,B,M1->M3,34,36,374,0,0,15,272,11
36,A,M1->M2->M3,11,31,88,45,55,14,44,6
37,B,M1->M3,14,48,140,0,0,14,42,10
38,D,M1->M2,21,51,63,31,252,0,0,10
39,A,M1->M2->M3,23,52,207,14,184,17,184,5
40,E,M3,12,0,0,0,0,9,96,2
41,C,M2->M3,46,0,0,14,460,5,138,14
42,C,M2->M3,13,0,0,10,195,5,52,13
43,C,M2->M3,8,0,0,29,112,29,24,12
44,B,M1->M3,10,39,70,0,0,23,80,8
45,E,M3,15,0,0,0,0,20,30,7
46,E,M3,16,0,0,0,0,12,80,3
47,A,M1->M2->M3,45,16,135,45,495,24,135,3
48,A,M1->M2->M3,10,17,50,38,70,19,60,14
49,E,M3,25,0,0,0,0,20,125,9
50,B,M1->M3,32,49,128,0,0,21,160,10
