OrderID,PartType,OperationSequence,Quantity,M1_Ruest,M1_Proc,M2_Ruest,M2_Proc,M3_Ruest,M3_Proc,Deadline_days
1,E,M3,30,0,0,0,0,29,90,3
2,A,M1->M2->M3,17,16,102,15,153,18,119,14
3,B,M1->M3,31,21,279,0,0,10,124,2
4,D,M1->M2,19,31,171,34,152,0,0,7
5,C,M2->M3,33,0,0,10,264,6,264,6
6,B,M1->M3,40,17,120,0,0,8,280,12
7,B,M1->M3,49,58,588,0,0,17,245,7
8,E,M3,27,0,0,0,0,28,54,9
9,B,M1->M3,21,27,63,0,0,30,147,12
10,D,M1->M2,23,35,138,35,299,0,0,2
11,C,M2->M3,24,0,0,37,240,10,120,6
12,E,M3,41,0,0,0,0,13,246,5
13,B,M1->M3,15,58,165,0,0,18,75,11
14,B,M1->M3,12,17,132,0,0,10,72,3
15,E,M3,29,0,0,0,0,20,232,7
16,D,M1->M2,50,43,400,34,650,0,0,12
17,D,M1->M2,30,45,150,41,390,0,0,12
18,C,M2->M3,26,0,0,15,260,22,130,7
19,D,M1->M2,12,48,108,11,84,0,0,12
20,C,M2->M3,5,0,0,31,70,11,35,4
21,D,M1->M2,36,54,144,15,324,0,0,7
22,D,M1->M2,40,48,360,18,320,0,0,12
23,C,M2->M3,31,0,0,26,155,26,62,13
24,E,M3,33,0,0,0,0,20,99,14
25,D,M1->M2,12,28,84,10,120,0,0,10
26,E,M3,35,0,0,0,0,20,175,14
27,D,M1->M2,23,47,115,10,299,0,0,12
28,C,M2->M3,21,0,0,30,273,28,105,6
29,D,M1->M2,41,30,164,31,246,0,0,4
30,B,M1->M3,7,19,63,0,0,19,56,6
31,B,M1->M3,28,15,196,0,0,10,112,7
32,D,M1->M2,26,50,156,28,130,0,0,11
33,A,M1->M2->M3,12,33,72,28,96,25,24,9
34,B,M1->M3,30,50,180,0,0,23,60,2
35,C,M2->M3,48,0,0,43,384,14,96,4
36,D,M1->M2,5,25,25,44,60,0,0,7
37,E,M3,37,0,0,0,0,29,185,6
38,C,M2->M3,13,0,0,28,182,6,65,5
39,D,M1->M2,31,29,248,25,310,0,0,7
40,A,M1->M2->M3,15,50,165,43,75,18,105,4
41,B,M1->M3,19,35,76,0,0,21,95,7
42,A,M1->M2->M3,48,55,432,22,528,13,240,8
43,B,M1->M3,16,18,80,0,0,29,80,7
44,E,M3,34,0,0,0,0,18,170,5
45,B,M1->M3,15,39,165,0,0,5,75,10
46,B,M1->M3,40,51,160,0,0,17,160,13
47,A,M1->M2->M3,31,31,124,14,186,12,93,2
48,C,M2->M3,43,0,0,43,387,15,172,13
49,B,M1->M3,30,41,270,0,0,26,120,14
50,C,M2->M3,27,0,0,45,216,26,189,13
