OrderID,PartType,OperationSequence,Quantity,M1_Ruest,M1_Proc,M2_Ruest,M2_Proc,M3_Ruest,M3_Proc,Deadline_days
1,E,M3,44,0,0,0,0,27,264,12
2,D,M1->M2,12,18,48,35,84,0,0,12
3,A,M1->M2->M3,8,40,96,20,104,23,40,4
4,E,M3,9,0,0,0,0,30,54,10
5,A,M1->M2->M3,20,21,240,38,160,17,120,5
6,B,M1->M3,20,53,120,0,0,15,40,2
7,B,M1->M3,28,31,308,0,0,13,84,12
8,C,M2->M3,28,0,0,18,364,28,224,12
9,E,M3,30,0,0,0,0,26,150,4
10,D,M1->M2,20,19,160,42,180,0,0,6
11,D,M1->M2,14,57,140,12,196,0,0,3
12,B,M1->M3,39,42,351,0,0,26,156,13
13,D,M1->M2,46,33,138,44,598,0,0,8
14,D,M1->M2,43,55,430,18,430,0,0,5
15,D,M1->M2,25,21,200,38,325,0,0,7
16,A,M1->M2->M3,49,43,539,18,637,23,147,13
17,A,M1->M2->M3,38,45,152,19,494,19,190,11
18,C,M2->M3,48,0,0,39,432,9,96,4
19,D,M1->M2,5,15,25,41,50,0,0,3
20,A,M1->M2->M3,30,36,180,10,360,29,210,7
21,B,M1->M3,21,29,231,0,0,8,63,2
22,E,M3,19,0,0,0,0,15,57,7
23,C,M2->M3,37,0,0,33,555,17,111,12
24,D,M1->M2,8,49,64,35,48,0,0,12
25,B,M1->M3,33,40,132,0,0,11,165,11
26,A,M1->M2->M3,40,43,280,13,560,24,200,7
27,C,M2->M3,38,0,0,44,342,23,76,12
28,E,M3,39,0,0,0,0,12,195,9
29,D,M1->M2,9,41,90,18,72,0,0,12
30,A,M1->M2->M3,46,41,276,30,322,18,92,10
31,A,M1->M2->M3,41,49,369,27,451,18,164,9
32,C,M2->M3,18,0,0,40,126,23,144,5
33,C,M2->M3,17,0,0,44,170,23,85,3
34,A,M1->M2->M3,8,42,80,12,104,29,40,7
35,E,M3,42,0,0,0,0,22,252,3
36,B,M1->M3,45,39,180,0,0,26,270,5
37,C,M2->M3,42,0,0,21,378,23,168,2
38,B,M1->M3,34,60,136,0,0,8,102,9
39,A,M1->M2->M3,12,21,132,23,96,28,48,4
40,D,M1->M2,15,55,75,36,90,0,0,11
41,E,M3,49,0,0,0,0,9,343,6
42,E,M3,7,0,0,0,0,30,42,2
43,E,M3,44,0,0,0,0,13,132,13
44,E,M3,23,0,0,0,0,18,184,10
45,E,M3,15,0,0,0,0,13,105,7
46,E,M3,24,0,0,0,0,21,192,9
47,A,M1->M2->M3,18,16,54,35,126,19,90,10
48,B,M1->M3,43,29,387,0,0,16,301,9
49,E,M3,13,0,0,0,0,12,26,2
50,D,M1->M2,5,32,30,13,35,0,0,6
