OrderID,PartType,OperationSequence,Quantity,M1_Ruest,M1_Proc,M2_Ruest,M2_Proc,M3_Ruest,M3_Proc,Deadline_days
1,D,M1->M2,46,51,368,33,460,0,0,11
2,E,M3,45,0,0,0,0,27,90,7
3,B,M1->M3,30,16,240,0,0,15,240,13
4,C,M2->M3,26,0,0,14,260,10,78,13
5,A,M1->M2->M3,22,32,198,40,110,30,44,8
6,E,M3,13,0,0,0,0,23,65,2
7,C,M2->M3,17,0,0,20,255,22,34,8
8,A,M1->M2->M3,42,44,168,19,504,22,336,6
9,D,M1->M2,29,27,261,37,319,0,0,3
10,A,M1->M2->M3,24,39,216,32,144,16,192,9
11,E,M3,28,0,0,0,0,5,56,10
12,D,M1->M2,21,59,210,37,126,0,0,4
13,E,M3,13,0,0,0,0,8,65,10
14,C,M2->M3,38,0,0,27,532,20,152,8
15,E,M3,32,0,0,0,0,25,192,6
16,A,M1->M2->M3,41,42,205,45,492,9,123,12
17,B,M1->M3,29,45,145,0,0,23,87,4
18,B,M1->M3,24,24,264,0,0,10,144,4
19,C,M2->M3,15,0,0,12,90,8,60,14
20,B,M1->M3,13,27,117,0,0,5,104,11
21,E,M3,36,0,0,0,0,25,180,7
22,E,M3,22,0,0,0,0,18,176,10
23,C,M2->M3,6,0,0,22,54,14,36,13
24,A,M1->M2->M3,8,56,80,16,88,10,56,10
25,C,M2->M3,16,0,0,35,160,27,112,9
26,B,M1->M3,29,60,319,0,0,27,87,13
27,D,M1->M2,50,58,200,45,550,0,0,4
28,B,M1->M3,50,44,250,0,0,9,350,3
29,A,M1->M2->M3,28,47,224,35,280,12,112,12
30,C,M2->M3,5,0,0,37,70,9,20,2
31,A,M1->M2->M3,29,22,116,40,145,10,232,10
32,D,M1->M2,17,58,68,12,136,0,0,7
33,B,M1->M3,11,40,33,0,0,26,33,7
34,D,M1->M2,46,25,414,15,690,0,0,6
35,A,M1->M2->M3,30,48,210,14,420,8,60,6
36,B,M1->M3,36,21,288,0,0,11,252,11
37,A,M1->M2->M3,34,31,170,22,340,15,204,13
38,A,M1->M2->M3,41,58,205,17,205,23,123,13
39,E,M3,8,0,0,0,0,23,64,9
40,E,M3,38,0,0,0,0,12,76,13
41,E,M3,20,0,0,0,0,25,80,6
42,E,M3,47,0,0,0,0,16,376,12
43,C,M2->M3,31,0,0,35,186,8,248,8
44,C,M2->M3,10,0,0,34,90,14,80,3
45,C,M2->M3,24,0,0,36,336,14,120,14
46,B,M1->M3,34,33,204,0,0,17,204,10
47,B,M1->M3,37,19,370,0,0,25,259,4
48,D,M1->M2,36,32,252,29,324,0,0,9
49,A,M1->M2->M3,23,30,69,36,207,17,184,5
50,E,M3,14,0,0,0,0,9,84,4
