OrderID,PartType,OperationSequence,Quantity,M1_Ruest,M1_Proc,M2_Ruest,M2_Proc,M3_Ruest,M3_Proc,Deadline_days
1,C,M2->M3,5,0,0,36,50,18,30,11
2,D,M1->M2,15,39,60,38,105,0,0,13
3,D,M1->M2,13,18,52,22,143,0,0,13
4,A,M1->M2->M3,7,55,56,32,35,20,42,8
5,C,M2->M3,26,0,0,31,156,13,156,7
6,D,M1->M2,32,31,224,40,416,0,0,3
7,D,M1->M2,28,51,224,15,168,0,0,7
8,C,M2->M3,15,0,0,30,165,23,45,11
9,A,M1->M2->M3,38,52,266,25,228,13,76,2
10,E,M3,39,0,0,0,0,21,312,8
11,B,M1->M3,44,31,352,0,0,5,264,13
12,B,M1->M3,5,51,50,0,0,21,25,4
13,B,M1->M3,25,18,125,0,0,11,100,9
14,E,M3,24,0,0,0,0,6,168,13
15,A,M1->M2->M3,13,18,130,44,117,29,26,4
16,A,M1->M2->M3,45,42,270,25,540,21,360,7
17,E,M3,25,0,0,0,0,20,150,14
18,E,M3,5,0,0,0,0,19,40,7
19,A,M1->M2->M3,13,29,39,37,195,22,91,7
20,E,M3,13,0,0,0,0,10,39,11
21,A,M1->M2->M3,27,18,297,29,216,18,108,5
22,D,M1->M2,40,59,120,41,560,0,0,2
23,E,M3,36,0,0,0,0,22,180,3
24,D,M1->M2,19,44,57,18,152,0,0,10
25,C,M2->M3,38,0,0,33,190,18,114,9
26,D,M1->M2,17,59,170,34,136,0,0,7
27,A,M1->M2->M3,7,52,42,20,77,20,21,6
28,B,M1->M3,30,25,90,0,0,13,120,13
29,D,M1->M2,33,54,231,10,297,0,0,6
30,E,M3,22,0,0,0,0,13,110,7
31,E,M3,45,0,0,0,0,21,360,11
32,A,M1->M2->M3,31,32,279,29,279,20,124,9
33,A,M1->M2->M3,47,21,282,14,282,13,282,10
34,C,M2->M3,32,0,0,17,448,7,192,9
35,D,M1->M2,42,45,336,45,546,0,0,7
36,A,M1->M2->M3,24,25,120,12,192,18,144,10
37,C,M2->M3,13,0,0,26,104,25,52,13
38,A,M1->M2->M3,35,54,350,32,420,27,210,2
39,C,M2->M3,42,0,0,33,294,23,336,9
40,D,M1->M2,40,32,320,33,600,0,0,9
41,A,M1->M2->M3,40,57,280,21,320,14,280,12
42,C,M2->M3,33,0,0,15,330,16,198,11
43,D,M1->M2,15,24,135,34,210,0,0,13
44,C,M2->M3,36,0,0,31,504,30,72,14
45,D,M1->M2,13,31,117,24,130,0,0,2
46,E,M3,14,0,0,0,0,18,28,4
47,D,M1->M2,25,53,100,10,125,0,0,14
48,C,M2->M3,49,0,0,24,392,15,343,8
49,E,M3,16,0,0,0,0,30,128,10
50,E,M3,11,0,0,0,0,14,22,2
