OrderID,PartType,OperationSequence,Quantity,M1_Ruest,M1_Proc,M2_Ruest,M2_Proc,M3_Ruest,M3_Proc,Deadline_days
1,A,M1->M2->M3,11,48,121,14,165,19,44,2
2,C,M2->M3,35,0,0,16,210,13,245,12
3,E,M3,10,0,0,0,0,24,70,13
4,E,M3,26,0,0,0,0,16,104,9
5,E,M3,41,0,0,0,0,25,287,7
6,D,M1->M2,17,46,153,39,221,0,0,5
7,C,M2->M3,7,0,0,29,84,22,35,6
8,A,M1->M2->M3,20,27,180,15,140,13,120,4
9,A,M1->M2->M3,34,44,136,39,374,5,272,11
10,C,M2->M3,9,0,0,16,108,16,72,7
11,D,M1->M2,25,15,225,18,225,0,0,14
12,C,M2->M3,50,0,0,18,700,19,300,11
13,B,M1->M3,16,18,48,0,0,30,80,6
14,C,M2->M3,5,0,0,21,50,6,35,7
15,C,M2->M3,41,0,0,16,369,28,246,3
16,C,M2->M3,40,0,0,37,440,12,120,5
17,D,M1->M2,6,30,54,18,66,0,0,8
18,D,M1->M2,20,20,60,16,100,0,0,5
19,E,M3,11,0,0,0,0,6,66,12
20,C,M2->M3,17,0,0,38,119,13,119,11
21,D,M1->M2,35,19,140,17,385,0,0,8
22,A,M1->M2->M3,50,38,200,16,650,19,300,10
23,D,M1->M2,7,53,21,24,70,0,0,13
24,D,M1->M2,5,52,35,41,40,0,0,12
25,E,M3,36,0,0,0,0,8,144,9
26,B,M1->M3,26,37,130,0,0,12,52,8
27,B,M1->M3,35,41,175,0,0,9,245,6
28,A,M1->M2->M3,37,16,148,10,296,29,74,13
29,E,M3,35,0,0,0,0,29,210,6
30,C,M2->M3,25,0,0,30,175,10,200,6
31,E,M3,10,0,0,0,0,14,20,11
32,A,M1->M2->M3,43,32,215,43,559,23,129,8
33,B,M1->M3,14,32,140,0,0,12,98,9
34,C,M2->M3,29,0,0,12,203,30,87,3
35,A,M1->M2->M3,13,35,78,10,78,21,52,3
36,E,M3,46,0,0,0,0,24,184,8
37,C,M2->M3,21,0,0,44,273,14,63,3
38,A,M1->M2->M3,20,54,240,12,160,8,60,5
39,A,M1->M2->M3,7,32,63,39,49,23,49,4
40,B,M1->M3,42,49,420,0,0,9,294,13
41,A,M1->M2->M3,33,44,363,23,165,22,132,7
42,C,M2->M3,22,0,0,22,154,10,154,14
43,A,M1->M2->M3,21,38,252,13,168,27,126,3
44,B,M1->M3,10,30,90,0,0,10,80,3
45,B,M1->M3,26,53,260,0,0,10,130,11
46,E,M3,5,0,0,0,0,7,35,8
47,A,M1->M2->M3,43,48,172,17,559,25,215,2
48,B,M1->M3,29,25,319,0,0,13,174,8
49,B,M1->M3,46,45,276,0,0,20,92,5
50,B,M1->M3,42,48,336,0,0,26,294,10
