OrderID,PartType,OperationSequence,Quantity,M1_Ruest,M1_Proc,M2_Ruest,M2_Proc,M3_Ruest,M3_Proc,Deadline_days
1,A,M1->M2->M3,47,15,564,31,564,28,376,7
2,C,M2->M3,48,0,0,26,624,14,96,5
3,A,M1->M2->M3,17,33,102,16,153,30,102,6
4,D,M1->M2,18,33,144,32,90,0,0,5
5,C,M2->M3,8,0,0,36,112,18,40,6
6,A,M1->M2->M3,26,40,104,33,286,22,78,14
7,A,M1->M2->M3,22,41,198,33,110,24,110,6
8,E,M3,24,0,0,0,0,16,48,4
9,E,M3,48,0,0,0,0,30,144,10
10,D,M1->M2,8,35,32,20,120,0,0,4
11,D,M1->M2,40,24,240,20,440,0,0,3
12,C,M2->M3,5,0,0,32,75,30,40,8
13,E,M3,33,0,0,0,0,25,99,2
14,E,M3,32,0,0,0,0,10,64,2
15,C,M2->M3,12,0,0,31,168,11,96,10
16,B,M1->M3,41,53,287,0,0,28,287,7
17,B,M1->M3,43,17,473,0,0,5,129,12
18,E,M3,14,0,0,0,0,9,98,4
19,A,M1->M2->M3,47,40,564,23,564,29,141,7
20,D,M1->M2,38,58,228,40,190,0,0,11
21,C,M2->M3,44,0,0,35,440,9,88,9
22,D,M1->M2,50,43,500,18,250,0,0,14
23,D,M1->M2,22,36,220,12,220,0,0,14
24,D,M1->M2,28,36,280,36,420,0,0,14
25,C,M2->M3,14,0,0,30,70,10,70,7
26,B,M1->M3,24,31,120,0,0,7,72,9
27,A,M1->M2->M3,40,44,160,40,560,28,160,4
28,B,M1->M3,28,50,252,0,0,7,84,6
29,A,M1->M2->M3,19,37,95,43,171,9,152,5
30,E,M3,18,0,0,0,0,19,90,13
31,E,M3,37,0,0,0,0,20,222,9
32,E,M3,49,0,0,0,0,30,294,6
33,D,M1->M2,5,31,30,11,30,0,0,13
34,D,M1->M2,26,39,234,40,338,0,0,9
35,D,M1->M2,25,58,125,18,275,0,0,3
36,A,M1->M2->M3,48,35,480,30,672,24,192,11
37,B,M1->M3,9,36,81,0,0,13,72,6
38,E,M3,17,0,0,0,0,30,136,4
39,B,M1->M3,8,15,32,0,0,16,40,6
40,B,M1->M3,42,34,126,0,0,19,294,4
41,D,M1->M2,37,54,185,44,296,0,0,9
42,B,M1->M3,17,57,119,0,0,24,68,3
43,A,M1->M2->M3,27,26,324,44,270,17,135,13
44,E,M3,49,0,0,0,0,18,196,6
45,E,M3,16,0,0,0,0,29,96,11
46,C,M2->M3,14,0,0,19,182,8,70,6
47,E,M3,35,0,0,0,0,19,70,3
48,A,M1->M2->M3,8,48,32,37,104,29,40,13
49,E,M3,21,0,0,0,0,14,126,7
50,A,M1->M2->M3,22,32,176,40,132,22,88,13
