OrderID,PartType,OperationSequence,Quantity,M1_Ruest,M1_Proc,M2_Ruest,M2_Proc,M3_Ruest,M3_Proc,Deadline_days
1,D,M1->M2,12,49,60,28,180,0,0,7
2,B,M1->M3,29,54,87,0,0,15,145,9
3,E,M3,35,0,0,0,0,23,175,12
4,D,M1->M2,13,18,65,42,130,0,0,3
5,D,M1->M2,35,15,245,31,525,0,0,9
6,E,M3,14,0,0,0,0,9,112,5
7,A,M1->M2->M3,41,18,164,42,574,30,246,8
8,A,M1->M2->M3,15,22,135,32,150,11,120,3
9,E,M3,50,0,0,0,0,10,300,13
10,B,M1->M3,19,43,152,0,0,13,133,9
11,A,M1->M2->M3,9,48,63,33,126,13,54,12
12,E,M3,41,0,0,0,0,18,82,9
13,C,M2->M3,50,0,0,33,700,6,300,14
14,D,M1->M2,19,43,114,15,228,0,0,5
15,E,M3,20,0,0,0,0,8,100,4
16,D,M1->M2,48,57,144,41,336,0,0,7
17,E,M3,50,0,0,0,0,24,150,12
18,D,M1->M2,36,21,108,39,180,0,0,13
19,A,M1->M2->M3,37,35,222,26,333,24,259,8
20,D,M1->M2,20,19,120,15,220,0,0,12
21,A,M1->M2->M3,11,31,88,33,154,11,66,5
22,B,M1->M3,16,54,64,0,0,19,32,14
23,E,M3,25,0,0,0,0,10,200,2
24,C,M2->M3,42,0,0,19,210,23,252,2
25,B,M1->M3,16,20,48,0,0,18,96,6
26,A,M1->M2->M3,41,56,123,40,246,14,205,9
27,B,M1->M3,34,15,408,0,0,9,136,4
28,C,M2->M3,27,0,0,45,378,18,54,11
29,E,M3,7,0,0,0,0,5,21,12
30,E,M3,41,0,0,0,0,26,287,8
31,E,M3,19,0,0,0,0,30,76,7
32,D,M1->M2,12,49,48,43,84,0,0,11
33,C,M2->M3,31,0,0,45,310,15,62,6
34,E,M3,39,0,0,0,0,29,117,2
35,C,M2->M3,15,0,0,34,180,13,60,7
36,E,M3,36,0,0,0,0,15,144,14
37,C,M2->M3,35,0,0,38,385,21,210,9
38,D,M1->M2,7,41,77,32,105,0,0,9
39,B,M1->M3,32,19,352,0,0,13,96,3
40,E,M3,13,0,0,0,0,13,78,13
41,B,M1->M3,15,51,75,0,0,18,90,11
42,A,M1->M2->M3,35,23,420,23,350,29,210,14
43,B,M1->M3,46,30,322,0,0,13,230,14
44,A,M1->M2->M3,45,50,540,25,630,10,270,13
45,B,M1->M3,35,36,175,0,0,17,70,12
46,B,M1->M3,28,44,252,0,0,5,112,10
47,A,M1->M2->M3,34,29,272,21,238,14,136,2
48,B,M1->M3,36,19,324,0,0,9,252,3
49,C,M2->M3,15,0,0,18,150,14,105,13
50,C,M2->M3,26,0,0,14,312,7,156,2
