OrderID,PartType,OperationSequence,Quantity,M1_Ruest,M1_Proc,M2_Ruest,M2_Proc,M3_Ruest,M3_Proc,Deadline_days
1,E,M3,41,0,0,0,0,16,246,7
2,C,M2->M3,17,0,0,44,255,7,34,12
3,B,M1->M3,10,58,90,0,0,8,60,12
4,B,M1->M3,33,38,132,0,0,17,132,9
5,A,M1->M2->M3,26,44,260,15,364,9,182,11
6,A,M1->M2->M3,12,53,108,29,84,27,84,9
7,E,M3,9,0,0,0,0,23,54,2
8,A,M1->M2->M3,10,19,100,37,100,18,80,3
9,A,M1->M2->M3,24,36,264,10,336,12,72,10
10,A,M1->M2->M3,39,34,312,15,273,7,156,9
11,A,M1->M2->M3,29,30,348,17,406,15,116,13
12,C,M2->M3,49,0,0,30,490,27,196,5
13,B,M1->M3,10,17,30,0,0,21,60,9
14,C,M2->M3,21,0,0,18,273,8,126,3
15,C,M2->M3,32,0,0,21,480,6,64,2
16,E,M3,21,0,0,0,0,23,168,11
17,A,M1->M2->M3,23,46,92,42,115,23,184,5
18,A,M1->M2->M3,34,51,306,12,306,22,102,5
19,D,M1->M2,29,33,290,11,232,0,0,5
20,B,M1->M3,13,38,156,0,0,28,91,14
21,A,M1->M2->M3,10,39,70,31,100,25,70,2
22,A,M1->M2->M3,41,56,328,21,574,5,246,11
23,B,M1->M3,5,15,50,0,0,13,30,11
24,D,M1->M2,45,33,405,34,225,0,0,11
25,C,M2->M3,32,0,0,39,224,24,192,10
26,B,M1->M3,39,60,390,0,0,7,234,4
27,A,M1->M2->M3,37,46,333,39,222,21,296,14
28,A,M1->M2->M3,29,31,87,45,435,23,58,7
29,B,M1->M3,45,37,450,0,0,9,135,13
30,C,M2->M3,23,0,0,31,184,14,138,14
31,D,M1->M2,39,37,429,18,429,0,0,13
32,C,M2->M3,29,0,0,29,348,17,116,3
33,B,M1->M3,5,33,20,0,0,11,10,3
34,C,M2->M3,34,0,0,43,374,27,238,12
35,B,M1->M3,45,43,540,0,0,17,135,2
36,D,M1->M2,32,25,128,19,192,0,0,3
37,D,M1->M2,7,34,84,18,56,0,0,2
38,D,M1->M2,39,20,312,18,195,0,0,12
39,D,M1->M2,17,51,187,34,136,0,0,2
40,D,M1->M2,47,49,282,16,329,0,0,8
41,A,M1->M2->M3,42,26,504,12,252,10,210,7
42,B,M1->M3,34,15,340,0,0,27,204,2
43,C,M2->M3,25,0,0,32,350,22,125,12
44,C,M2->M3,8,0,0,20,56,8,40,8
45,C,M2->M3,26,0,0,23,286,17,156,14
46,D,M1->M2,50,58,150,18,700,0,0,3
47,E,M3,32,0,0,0,0,28,224,9
48,A,M1->M2->M3,30,59,180,21,360,18,60,14
49,B,M1->M3,14,37,56,0,0,13,56,2
50,C,M2->M3,6,0,0,23,78,9,18,3
